,Treatment-Temperature,Temp,Sal,pH,TA,Nitrite,Nitrate,Ammonium,Silicate,Phosphate,DIC,pCO2,Omega-Cal,Omega-Arag,Bicarbonate-ion,Carbonate-ion,CO2
90,-1.2007636949816363,-0.8585740649126049,-0.869879547756483,1.0713234342539446,0.2437826543525293,-0.8941098221636148,-0.5950085387084625,-1.1785232033619242,-0.7914817812213631,-1.1704293194575894,-0.06094747207295435,-0.9681461739729812,0.7689013104027149,0.7562407267691342,-0.13342154164839337,0.7713612943763762,-0.7952318283846895
91,-1.2007636949816363,-0.8585740649126049,-0.869879547756483,1.0713234342539446,0.2437826543525293,-0.22998552420913113,-0.5738659542994848,-0.9450244706838987,-1.2491242972164933,-1.3309825007211824,-0.0601459145384221,-0.9681461739729812,0.7689013104027149,0.7562407267691342,-0.13264337131251097,0.7713612943763762,-0.7952318283846895
92,-1.2007636949816363,-0.8585740649126049,-0.869879547756483,1.0713234342539446,0.2437826543525293,-1.0838596215791816,-1.2914246422285673,0.032751472405333604,-1.1537821063841744,-1.4331527069798322,-0.059344357003889854,-0.9681461739729812,0.7689013104027149,0.7562407267691342,-0.13264337131251097,0.7713612943763762,-0.7843826312392989
93,-1.2007636949816363,-0.8585740649126049,-0.869879547756483,1.0713234342539446,0.2437826543525293,-1.0838596215791816,-1.3012224252473619,-0.9742118122686518,-1.1347136682177106,-1.4915356819847752,-0.0585427994693576,-0.9681461739729812,0.7689013104027149,0.7562407267691342,-0.13186520097662857,0.7713612943763762,-0.7843826312392989
94,-1.2007636949816363,-0.8585740649126049,-0.869879547756483,1.0713234342539446,0.2437826543525293,-0.41973532362469806,-1.2571324016627867,-1.1201485201924177,-0.7342764667219719,-1.4331527069798322,-0.059344357003889854,-0.9681461739729812,0.7689013104027149,0.7562407267691342,-0.13264337131251097,0.7713612943763762,-0.7843826312392989
95,0.3547001428413603,-0.42973586842469647,-2.0400565419737364,-0.6276031433631594,-1.2662163859997493,1.2880128711154029,-0.8182948569788849,0.12761033255578144,-0.13362066447836357,-0.41145064439333284,-0.7903648284979673,0.27840301893542213,-1.0180404999673414,-1.0262966855042506,-0.6112181278806267,-1.0207487805281363,0.4632750404806633
96,0.3547001428413603,-0.42973586842469647,-2.0400565419737364,-0.6276031433631594,-1.2662163859997493,0.6238885731609192,-0.9291645069284018,0.12761033255578144,-0.13362066447836357,-1.2725995257162395,-0.7855554832907684,0.2792553602639067,-1.0180404999673414,-1.0262966855042506,-0.6065491058653287,-1.0207487805281363,0.4632750404806633
97,0.3547001428413603,-0.42973586842469647,-2.0400565419737364,-0.6276031433631594,-1.2662163859997493,-0.6094851230402647,-1.09778950940976,0.12761033255578144,-0.13362066447836357,-0.4406421318958041,-0.7903648284979673,0.27840301893542213,-1.0180404999673414,-1.0262966855042506,-0.6104399575447442,-1.0207487805281363,0.4524258433352722
98,0.3547001428413603,-0.42973586842469647,-2.0400565419737364,-0.6276031433631594,-1.2662163859997493,0.05463917491421896,-1.0916014359242054,0.12761033255578144,-0.13362066447836357,-1.009876138193997,-0.7871585983598347,0.2792553602639067,-1.0180404999673414,-1.0262966855042506,-0.6073272762012111,-1.0207487805281363,0.4524258433352722
99,0.3547001428413603,-0.48135528096490726,-2.0400565419737364,-0.6276031433631594,-1.2662163859997493,-0.04023572479356449,-0.6968539148248791,0.12761033255578144,-0.13362066447836357,1.2524641432475379,-0.7959757312396986,0.27243662963603155,-1.0180404999673414,-1.0262966855042506,-0.6143308092241598,-1.0337981257337523,0.4632750404806633
100,0.3547001428413603,-0.48135528096490726,-2.0400565419737364,-0.6276031433631594,-1.2662163859997493,-0.04023572479356449,-0.8247407668596708,0.12761033255578144,-0.13362066447836357,-0.5574080819056899,-0.7855554832907684,0.27456748295724254,-1.0180404999673414,-1.0262966855042506,-0.6049927651935622,-1.0337981257337523,0.4741242376260545
101,0.3547001428413603,-0.7593059638737372,-1.862756997395374,0.3005908892861817,-1.2662163859997493,-0.04023572479356449,-0.8054030372173131,0.12761033255578144,-0.13362066447836357,1.5005917870185452,-1.0596881601010477,-0.5786261868556204,-0.3251446959462993,-0.34723481416200863,-0.9341588172721194,-0.3378330481009317,-0.38296233685983244
102,0.3547001428413603,-0.7593059638737372,-1.862756997395374,0.3005908892861817,-1.2662163859997493,-0.04023572479356449,-0.6246597241600774,0.12761033255578144,-0.13362066447836357,-0.5136208506519827,-1.048466354617587,-0.5769215041986517,-0.3251446959462993,-0.34723481416200863,-0.9240426029056392,-0.33348326636572617,-0.38296233685983244
103,0.3547001428413603,-0.7275401715412995,-2.0400565419737364,-0.6524654835234105,-1.2662163859997493,-0.04023572479356449,-0.4114290253036811,0.12761033255578144,-0.13362066447836357,-0.10494002561738285,-0.7823492531526376,0.2754198242857266,-1.109211000496426,-1.1111794194220308,-0.5925420398194312,-1.1120941969674445,0.5392194204984004
104,0.3547001428413603,-0.7275401715412995,-2.0400565419737364,-0.6524654835234105,-1.2662163859997493,-0.04023572479356449,-0.29591832023999826,0.12761033255578144,-0.13362066447836357,-0.30928043813468276,-0.7607071997202467,0.2796815309281485,-1.109211000496426,-1.1111794194220308,-0.5723096110864709,-1.1120941969674445,0.5500686176437916
105,0.3547001428413603,-0.7275401715412995,-2.0400565419737364,-0.6524654835234105,-1.2662163859997493,-0.04023572479356449,-0.9843414955079288,0.12761033255578144,-0.13362066447836357,-0.3238761818859185,-0.7607071997202467,0.2796815309281485,-1.109211000496426,-1.1111794194220308,-0.5723096110864709,-1.1120941969674445,0.5500686176437916
106,0.3547001428413603,-0.7275401715412995,-2.0400565419737364,-0.6524654835234105,-1.2662163859997493,-0.04023572479356449,-0.6922128597107133,0.12761033255578144,-0.13362066447836357,0.5810599306906954,-0.7655165449274439,0.2788291895996644,-1.109211000496426,-1.1111794194220308,-0.5769786331017689,-1.1120941969674445,0.5500686176437916
107,0.3547001428413603,-1.1166711276136603,-1.5790777260699838,-0.5447286761623271,-1.2662163859997493,-0.04023572479356449,-0.45551904888825645,0.12761033255578144,-0.13362066447836357,-0.10494002561738285,-0.7839523682217039,0.1339311637573201,-1.109211000496426,-1.1111794194220308,-0.5909856991476664,-1.1164439787026494,0.5066718290622271
